Time,Xout,Yout,Zout
13:54:41,-1.287109375,7.1953125,3.10546875
13:54:42,-1.283203125,7.154296875,3.078125
13:54:43,-1.291015625,7.181640625,3.0
13:54:44,-1.330078125,7.171875,3.064453125
13:54:45,-1.265625,7.15625,3.03125
13:54:46,-1.345703125,7.162109375,3.02734375
13:54:47,-1.28125,7.185546875,3.0625
13:54:48,-1.271484375,7.14453125,3.15234375
13:54:49,-1.306640625,7.134765625,3.07421875
13:54:50,-1.3203125,7.1640625,3.056640625
13:54:51,-1.25390625,7.1328125,3.0546875
13:54:52,-1.2421875,7.18359375,2.99609375
13:54:53,-1.322265625,7.169921875,3.0703125
13:54:54,-1.294921875,7.185546875,3.076171875
13:54:55,-1.322265625,7.123046875,3.076171875
13:54:56,-1.296875,7.115234375,3.005859375
